name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing,genre
Como Esta,188100,False,10,Soo Wincci,Como Esta,0.608,0.646,10,-6.183,0.0,0.0447,0.0738,0.0,0.121,0.401,125.024,188101,4.0,387.0,96.0,,0.7573891625615764,mandopop
Hooks And Splinters,213226,True,25,Otep,House Of Secrets,0.278,0.962,11,-6.147,1.0,0.251,0.000794,0.816,0.0684,0.109,92.412,213227,4.0,330.0,82.0,,0.7481162540365985,industrial
Bio-logical,179251,False,57,Soundtopia,Primary,0.0763,0.0261,1,-31.0,1.0,0.048,0.985,0.976,0.0891,0.0854,178.17,179252,3.0,366.0,121.0,,2.36741214057508,sleep
Powerlord,244141,False,11,Krafty Kuts,The Remedy EP,0.656,0.888,5,-4.525,0.0,0.0461,0.000638,0.686,0.112,0.691,124.016,244142,4.0,502.0,126.0,,1.2793053545586106,breakbeat
Opus Eclipse,219826,False,17,Therion,Theli,0.493,0.771,2,-6.797,1.0,0.0276,0.0219,0.82,0.231,0.561,129.97,219827,4.0,469.0,117.0,,3.7004830917874396,black-metal
Swashers,338500,False,36,Yosi Horikawa,Spaces,0.533,0.67,9,-9.541,0.0,0.0418,0.328,0.95,0.529,0.452,170.003,338500,4.0,893.0,223.0,0.516,1.343558282208589,idm
888 Hz Ondas Cuánticas,216903,False,19,Mc_team;Sonic Whales,888 Hz Abundancia y la Prosperidad,0.131,0.00867,9,-41.49,,0.0408,0.992,0.925,0.113,0.0569,145.861,216903,4.0,481.0,121.0,,1.343558282208589,indian
Like Hypa Said - Remastered,380098,False,0,Scooter,The Stadium Techno Experience (20 Years of Hardcore Expanded Editon) [Remastered],0.455,0.986,4,-7.058,0.0,0.0779,0.001,0.0735,0.208,0.288,141.977,380098,4.0,888.0,224.0,,0.916010498687664,happy
Moskau,256306,False,63,Rammstein,"Reise, Reise",0.493,0.963,11,-3.41,,0.0638,2.25e-05,0.667,0.305,0.305,147.992,256307,4.0,620.0,155.0,,0.7481162540365985,industrial
Natural Hot,181133,True,11,Grim YG,Natural Hot,0.877,0.596,7,-4.882,,0.323,0.348,0.0,0.0585,0.717,96.887,181133,4.0,290.0,72.0,,4.067085953878407,j-dance
Dreadful Discovery,239933,False,17,Mortuary Drape,Tolling 13 Knell,0.255,0.982,8,-4.369,1.0,0.164,0.00013,0.1,0.361,0.0424,97.61,239933,4.0,383.0,96.0,,2.7259036144578315,black-metal
Poem - Live Version,199093,False,19,Taproot,Music as a Weapon II,0.44,0.984,11,-4.715,0.0,0.0816,0.00395,0.00108,0.897,0.417,108.256,199093,4.0,350.0,88.0,,0.7481162540365985,industrial
Fuck Them,250723,True,25,Human Resource,Thunderdome Never Dies,0.61,0.976,11,-5.584,0.0,0.0721,0.00814,0.494,0.103,0.94,151.852,250723,4.0,630.0,155.0,,0.7481162540365985,happy
Mordidinha - Ao Vivo,143421,False,34,Os Barões Da Pisadinha,"Da Roça Pra Cidade (Ao Vivo), Vol. 04",0.555,0.962,7,-2.555,1.0,0.0377,0.368,0.0,0.123,0.935,168.073,143421,4.0,392.0,98.0,,4.067085953878407,forro
"Give a Little Whistle - From ""Pinocchio"" / Soundtrack Version",96706,False,25,Dickie Jones;Cliff Edwards,Disney's Greatest Vol. 3,0.671,0.43,5,-11.705,1.0,0.212,0.894,0.00254,0.369,0.757,111.355,96707,4.0,173.0,43.0,,1.2793053545586106,disney
Pure White Noise - Loopable with No Fade,73886,False,27,Sleep Baby Sleep;Relaxation;White Noise Meditation;Spa Relaxation & Spa;Rest & Relax;Deep Sleep,"Brown Noise, White Noise, and Binaural Beats Entrainment (Loopable with no Fade)",0.0,0.0,0,-8.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73887,0.0,0.0,0.0,,3.349056603773585,sleep
Old Rattler - Rerecorded,126600,False,26,Grandpa Jones,An American Original,0.669,0.715,9,-7.355,1.0,0.0303,0.791,0.0016,0.213,0.967,133.094,126600,4.0,272.0,68.0,,1.343558282208589,bluegrass
Crowned Serpent,231800,False,18,Valkyrja,Throne Ablaze,0.142,0.988,2,-7.273,1.0,0.101,0.000102,0.842,0.128,0.0345,96.659,231801,4.0,373.0,94.0,,3.7004830917874396,black-metal
Deus na Frente,151912,False,42,Pedrinho Pisadinha,O Sucesso dos Paredões,0.711,0.797,10,-4.321,0.0,0.0487,0.308,0.000148,0.0993,0.968,164.05,151912,4.0,399.0,99.0,0.241,0.7573891625615764,forro
永不失聯的愛,259600,False,67,Eric Chou,如果雨之後,0.289,0.43,10,-6.818,1.0,0.0332,0.624,0.0,0.101,0.531,169.511,259600,,717.0,179.0,,0.7573891625615764,mandopop
I Just Can't,133120,False,23,Yonder Mountain String Band,Get Yourself Outside,0.586,0.564,9,-9.699,1.0,0.0286,0.234,2.23e-06,0.316,0.862,149.94,133120,4.0,316.0,78.0,,1.343558282208589,bluegrass
Beijo Roubado,249733,False,29,Cesária Evora,Voz D' Amor,0.838,0.471,4,-9.141,0.0,0.0335,0.798,2.39e-05,0.239,0.855,103.008,249733,4.0,427.0,106.0,,0.916010498687664,brazil
Irreversible,406240,False,0,Kahtmayan,Virtual existence,0.393,0.965,6,-5.133,0.0,0.122,0.000199,0.788,0.0898,0.33,159.982,406240,4.0,1062.0,268.0,,1.1709531013615733,iranian
好き好き大好き - 2016 Remaster,214413,False,64,Jun Togawa,好き好き大好き,0.767,0.89,0,-4.281,1.0,0.0738,0.463,0.0037,0.363,0.859,140.363,214413,4.0,493.0,122.0,0.549,3.349056603773585,techno
Subsistence Of The Bygone,422464,False,0,Connate Exasperation,Delusional Primacy,0.538,0.966,9,-4.268,0.0,0.0642,2.7e-06,0.916,0.125,0.153,119.997,422464,5.0,834.0,208.0,,1.343558282208589,iranian
"Lamentável, Pt. III",210517,True,55,Froid;Cynthia Luz,"Lamentável, Pt. III",0.663,0.564,9,-6.357,0.0,0.384,0.57,0.0,0.204,0.351,69.95,210517,4.0,244.0,61.0,0.816,1.343558282208589,brazil
Meri Sansaon Main Basa Hai,141061,False,38,Ramesh Mishra,Popular Covers - Saregama And Pehchan Music Vol - 4,0.4,0.148,0,-12.625,,0.0341,0.95,0.0,0.132,0.486,70.628,141061,4.0,161.0,41.0,,3.349056603773585,indian
Nabard,101600,False,0,Alireza Mashayekhi;Djamchid Chemirani;Keyvan Chemirani,"Mashayekhi: Sheherazade ""Layla Ramezan Plays 100 Years of Iranian Piano Music, Vol.2""",0.556,0.0765,6,-30.873,1.0,0.655,0.928,0.000128,0.18,0.251,94.727,101600,3.0,157.0,52.0,,1.1709531013615733,iranian
Save,193033,False,43,Faime,Escape,0.616,0.335,5,-12.631,1.0,0.0303,0.851,0.0547,0.109,0.137,96.953,193034,4.0,307.0,77.0,,1.2793053545586106,study
cascade,158000,False,23,sound butler,the sound is served,0.685,0.41,9,-10.478,0.0,0.0392,0.735,0.914,0.19,0.0979,89.985,158000,4.0,227.0,55.0,,1.343558282208589,study
J'adore Hardcore - Extended Mix,339768,False,17,Scooter,J'adore Hardcore,0.537,0.871,7,-5.457,1.0,0.0498,0.00428,0.0745,0.163,0.166,149.98,339768,4.0,844.0,212.0,,4.067085953878407,happy
Dance With Me,391590,False,64,Kevin de Vries,Dance With Me EP,0.792,0.704,6,-7.181,,0.0631,0.00213,0.564,0.123,0.472,124.003,391591,4.0,807.0,203.0,,1.1709531013615733,techno
Falling Anthem,270013,False,22,Bad Boy Bill;Alyssa Palmer,The Album,0.818,0.709,0,-5.417,1.0,0.0358,0.00155,0.0424,0.0868,0.723,127.976,270013,4.0,573.0,143.0,0.929,3.349056603773585,chicago-house
Até Quando Esperar,268986,False,47,Plebe Rude,Brasília,0.504,0.871,2,-6.669,1.0,0.0436,0.000157,0.00179,0.118,0.601,94.095,268987,4.0,417.0,104.0,,3.7004830917874396,brazil
The Walrus and the Carpenter,138516,False,1,Cameron's Bedtime Classics,Alice in Wonderland,0.279,0.16,0,-16.142,1.0,0.0408,0.968,0.858,0.133,0.0705,101.168,138516,4.0,228.0,56.0,0.867,3.349056603773585,disney
Fome,131643,True,49,Murica;BEATDOMK,Fome,0.637,0.394,0,-11.175,1.0,0.317,0.399,0.000884,0.107,0.225,88.145,131644,4.0,190.0,46.0,,3.349056603773585,brazil
Turn Up,226995,False,21,Dub Pistols;Serocee,Return of the Pistoleros,0.761,0.821,11,-4.963,0.0,0.089,0.101,0.00203,0.0607,0.216,95.038,226996,4.0,353.0,88.0,,0.7481162540365985,breakbeat
On My Mind,189268,False,62,Diplo;SIDEPIECE,On My Mind,0.771,0.731,7,-6.574,,0.0409,0.00165,0.633,0.217,0.635,123.026,189268,4.0,384.0,97.0,,4.067085953878407,chicago-house
Hey Boy Hey Girl,290493,False,68,The Chemical Brothers,Surrender,0.632,0.92,2,-4.976,1.0,0.0531,0.119,0.508,0.114,0.363,127.001,290493,4.0,613.0,152.0,,3.7004830917874396,breakbeat
不是我不明白,281573,False,50,Fish Leong;Crowd Lu,親親,0.625,0.341,7,-6.949,,0.0291,0.796,0.0,0.0764,0.199,130.127,281573,4.0,596.0,149.0,0.329,4.067085953878407,mandopop
When You Wish Upon a Star,183426,False,11,Serph,Disney Glitter Melodies,0.381,0.305,1,-17.556,1.0,0.0314,0.0523,0.0456,0.318,0.24,79.943,183427,,242.0,59.0,,2.36741214057508,idm
Plonk II,200125,False,16,Huerco S.,Plonk,0.525,0.0265,1,-15.997,0.0,0.0425,0.849,0.285,0.168,0.0771,120.835,200125,1.0,390.0,96.0,0.647,2.36741214057508,techno
English Breakfast,144000,False,32,Jobii,English Breakfast,0.796,0.626,5,-6.637,,0.122,0.0337,0.837,0.107,0.638,80.009,144000,4.0,190.0,48.0,,1.2793053545586106,study
白いパラソル,210880,False,34,Seiko Matsuda,白いパラソル,0.724,0.674,11,-6.154,1.0,0.0264,0.16,7.91e-05,0.0652,0.894,140.981,210880,4.0,484.0,120.0,,0.7481162540365985,j-idol
The Underground - Hatiras Remix,423344,False,0,DJ Pierre;My Digital Enemy;Hatiras,"Mono:Disko, Vol. 12",0.979,0.517,8,-7.448,,0.303,0.000372,0.754,0.0354,0.492,123.995,423344,4.0,873.0,219.0,,2.7259036144578315,chicago-house
Um Sonho de Amor,153412,False,52,Limão Com Mel;Wesley Safadão,Estúdio Limão,0.699,0.786,0,-5.8,1.0,0.042,0.562,5.21e-06,0.444,0.69,105.994,153412,4.0,267.0,66.0,,3.349056603773585,forro
Suffer,336053,False,17,IFÁ;Okwei V. Odili,IFÁ Afrobeat + Okwei V. Odili,0.718,0.748,9,-9.315,,0.0367,0.0885,5.72e-05,0.0779,0.963,99.014,336053,4.0,550.0,137.0,,1.343558282208589,afrobeat
疼惜我的吻,249880,False,22,音樂磁場,音樂磁場15-台語名曲經典,0.603,0.318,1,-17.624,0.0,0.0333,0.168,3.36e-06,0.114,0.158,116.994,249880,3.0,481.0,160.0,,2.36741214057508,mandopop
Crying My Heart Out Over You (excerpt),178266,False,46,Ricky Skaggs,Super Hits,0.595,0.407,7,-9.536,1.0,0.0272,0.49,2.67e-05,0.0959,0.702,127.507,178267,4.0,373.0,92.0,,4.067085953878407,bluegrass
Als We Gaan,214000,False,21,Lawineboys,10 Jaar Lawinegevaar,0.618,0.96,5,-4.161,0.0,0.105,0.21,0.0,0.214,0.583,138.034,214000,,480.0,121.0,,1.2793053545586106,happy
Iran Iraq,241770,False,0,Mahdyar,Seized,0.139,0.81,1,-5.082,1.0,0.0835,0.174,0.013,0.0666,0.312,86.677,241771,,441.0,111.0,,2.36741214057508,iranian
Ewa,251146,False,16,Tony Allen,Film Of Life,0.692,0.884,1,-8.655,1.0,0.0632,0.0317,0.885,0.087,0.19,112.976,251147,4.0,461.0,115.0,,2.36741214057508,afrobeat
Ondas Cerebrales Delta,359003,False,20,Ondas Delta,"Abre Tu Mente: Música con Sonidos Binaurales y Ondas Cerebrales, Creatividad y Memoria",0.312,0.033,9,-25.894,1.0,0.0307,0.853,0.851,0.114,0.0639,79.655,359003,4.0,475.0,116.0,,1.343558282208589,brazil
Descubriendote,176720,False,29,Rosana,Lunas Rotas: De casa a las ventas (Standard version),0.542,0.388,2,-8.589,1.0,0.0352,0.77,0.0,0.144,0.386,74.874,176720,4.0,217.0,54.0,,3.7004830917874396,spanish
Out of Space - Audio Bullys Remix,296680,False,20,The Prodigy;Audio Bullys,Voodoo People / Out of Space,0.712,0.849,9,-4.16,1.0,0.0918,0.00243,0.000485,0.359,0.701,126.93,296680,4.0,622.0,157.0,0.108,1.343558282208589,breakbeat
Alright Here We Go!,379002,False,14,The Prophet,Oldschool Hardcore,0.586,0.649,7,-12.45,1.0,0.0443,6.46e-05,0.943,0.166,0.0399,179.809,379002,4.0,1127.0,283.0,,4.067085953878407,happy
Between Us,168063,False,17,Kyson,Lucky Notes,0.45,0.462,8,-8.016,1.0,0.0325,0.0421,1.4e-05,0.104,0.165,166.025,168064,4.0,454.0,113.0,,2.7259036144578315,idm
Never ending,231625,False,17,TRiDENT,再構創Ⅱ,0.257,0.974,6,-2.178,,0.19,5.63e-05,0.0,0.0996,0.403,194.663,231625,4.0,727.0,183.0,,1.1709531013615733,j-idol
Shapeshifter (feat. Styles Of Beyond),217226,False,58,Celldweller;Styles Of Beyond,Celldweller (Deluxe Edition),0.622,0.956,6,-3.658,1.0,0.133,0.00268,0.0,0.394,0.557,115.963,217226,4.0,415.0,102.0,,1.1709531013615733,industrial
Tumhare Aane Se,208888,False,47,Ashu Shukla,Tumhare Aane Se,0.698,0.293,3,-10.413,1.0,0.0303,0.352,2.9e-05,0.101,0.867,108.08,208889,4.0,372.0,94.0,,1.7389162561576355,indian
Some Things Never Change (From 'Frozen 2'),150332,False,15,Little Piano Player,Frozen 2,0.375,0.0107,5,-32.055,,0.0477,0.994,0.941,0.105,0.529,70.992,150332,4.0,175.0,43.0,,1.2793053545586106,disney
Gemini Pollux,137906,False,7,"Sarah, the Illstrumentalist",Constellations,0.824,0.416,11,-9.273,1.0,0.104,0.0137,0.479,0.549,0.351,86.021,137907,4.0,196.0,48.0,,0.7481162540365985,study
Jesus Lover of My Soul - Live,215733,False,46,Hillsong Worship;Integrity's Hosanna! Music;Darlene Zschech,Shout to the Lord (Live),0.476,0.396,0,-10.916,,0.026,0.31,0.0,0.658,0.199,72.157,215733,4.0,257.0,63.0,,3.349056603773585,brazil
広い世界,197386,False,10,Rei Harakami,広い世界 と せまい世界,0.858,0.562,7,-7.531,1.0,0.0457,0.964,0.876,0.0667,0.894,119.508,197387,4.0,394.0,98.0,,4.067085953878407,idm
I'm Strong - Instrumental,319868,False,4,Mr. Fingers,I'm Strong,0.767,0.972,11,-7.847,1.0,0.0685,8.69e-06,0.898,0.0785,0.893,127.412,319868,4.0,677.0,171.0,,0.7481162540365985,chicago-house
Khone Do,239360,False,39,Prateek Kuhad,Shehron Ke Raaz,0.514,0.123,10,-11.512,,0.0379,0.851,0.0394,0.127,0.169,122.782,239360,4.0,465.0,116.0,,0.7573891625615764,indian
STYLE SHOT,188035,False,16,Chronic Law;Daddy1;ATTOMATIC RECORDS,1law,0.824,0.524,5,-9.458,,0.429,0.0444,0.0,0.23,0.831,97.943,188035,,305.0,76.0,,1.2793053545586106,j-dance
Take Me 2 Wonderland - Radio Mix,212480,False,24,4 Tune Fairytales,Take Me 2 Wonderland,0.514,0.943,0,-7.325,1.0,0.0384,0.143,0.333,0.181,0.467,178.085,212480,4.0,619.0,153.0,,3.349056603773585,happy
Let Go,231693,False,13,Stanton Warriors;Keith Thompson,Rise,0.601,0.849,4,-6.654,0.0,0.0338,0.00151,0.114,0.104,0.0781,126.99,231693,4.0,478.0,119.0,,0.916010498687664,breakbeat
We Don't Grow Tobacco,234520,False,31,Old Crow Medicine Show,Carry Me Back,0.696,0.623,5,-5.883,0.0,0.0352,0.649,0.0,0.0916,0.947,132.03,234520,4.0,512.0,127.0,,1.2793053545586106,bluegrass
Teorema,186546,False,43,Legião Urbana,Legião Urbana 30 Anos,0.299,0.926,11,-6.13,0.0,0.0994,0.000442,0.116,0.0585,0.531,206.641,186547,4.0,623.0,155.0,,0.7481162540365985,brazil
Aufs Schlimmste zu:Fur 7 Posaunen und Sprechende Musiker,186813,False,0,Kiawasch Sahebnassagh,Schlaflied unter der Ruine(Lalai zir-e Avar) - Music fur Ensemble & Computer,0.288,0.044,1,-16.281,,0.04,0.991,0.391,0.344,0.0312,77.482,186813,3.0,237.0,78.0,,2.36741214057508,iranian
Expectativas,201459,False,44,3030,Expectativas,0.75,0.507,11,-9.219,0.0,0.058,0.798,0.0,0.31,0.897,136.937,201460,4.0,457.0,115.0,0.534,0.7481162540365985,brazil
Daisy Chains,254186,False,13,Audio Bullys,Higher Than the Eiffel,0.484,0.618,7,-6.1,1.0,0.0541,0.374,0.00499,0.0941,0.0412,142.093,254187,4.0,598.0,150.0,,4.067085953878407,breakbeat
glory colors 〜風のトビラ〜,261092,False,26,ZONE,E 〜Complete A side Singles〜,0.572,0.594,5,-4.971,1.0,0.0257,0.0913,0.0,0.368,0.43,101.998,261093,,436.0,109.0,0.005,1.2793053545586106,j-idol
Not a Word at Breakfast,178065,False,5,Kyson,Lucky Notes,0.554,0.253,10,-14.187,1.0,0.0353,0.895,0.00908,0.0777,0.23,136.02,178065,4.0,395.0,99.0,,0.7573891625615764,idm
Street Smart,153437,False,20,Bounty Killer,90's Swing Riddim,0.848,0.817,10,-5.328,0.0,0.259,0.0416,3.08e-06,0.0701,0.846,98.055,153437,4.0,240.0,60.0,,0.7573891625615764,j-dance
There's No One Left To Trust,399425,False,41,Charlotte de Witte,Rave On Time EP,0.784,0.653,1,-11.758,1.0,0.101,0.0203,0.894,0.106,0.0754,136.005,399425,4.0,901.0,224.0,0.399,2.36741214057508,techno
Purgations of Bodily Corruptions,263048,False,20,Hulder,Godslastering: Hymns of a Forlorn Peasantry,0.15,0.963,2,-7.212,1.0,0.0752,0.0955,0.287,0.0732,0.111,150.123,263048,4.0,534.0,133.0,0.733,3.7004830917874396,black-metal
Limoncello,146526,False,45,Green Bicycle,Limoncello,0.605,0.482,10,-13.173,1.0,0.03,0.288,0.853,0.151,0.124,94.995,146526,,230.0,57.0,,0.7573891625615764,study
Problem (Glee Cast Version),194213,False,39,Glee Cast,"Glee: The Music, Homecoming",0.721,0.774,4,-6.063,,0.139,0.0132,1.83e-06,0.303,0.719,103.057,194213,4.0,327.0,81.0,,0.916010498687664,techno
Marketplace,331040,False,23,Hugh Masekela,Hope,0.696,0.249,5,-17.176,,0.0559,0.678,1.56e-05,0.472,0.558,92.286,331040,4.0,500.0,125.0,,1.2793053545586106,afrobeat
Nidstong,245066,False,18,Einherjer,"Av Oss, For Oss",0.378,0.917,7,-3.495,0.0,0.0438,1.83e-06,0.774,0.0465,0.379,139.992,245067,4.0,565.0,143.0,,4.067085953878407,black-metal
Mastoor (Solo Flute),284378,False,0,Mehdi Khayami;Kelariz Keshavarz,"Iranian New Waves, Vol. I",0.411,0.0396,4,-23.961,0.0,0.107,0.945,0.0874,0.0728,0.0704,103.838,284378,5.0,642.0,161.0,,0.916010498687664,iranian
Volte Amor,264947,False,59,Tayrone Cigano,20 Super Sucessos: Tayrone Cigano,0.725,0.788,11,-5.558,,0.0278,0.576,0.0,0.0645,0.858,135.012,264947,4.0,596.0,148.0,,0.7481162540365985,forro
Climax - Red Bull Symphonic,109725,False,22,Camo & Krooked,Red Bull Symphonic,0.341,0.896,9,-5.237,0.0,0.041,0.0506,0.286,0.898,0.345,87.487,109726,4.0,159.0,39.0,,1.343558282208589,j-dance
Sitting In Limbo - Live,629426,False,22,Jerry Garcia Band;Jerry Garcia,Don't Let Go,0.546,0.191,0,-19.721,1.0,0.0347,0.888,0.00285,0.154,0.598,134.559,629427,4.0,1397.0,354.0,,3.349056603773585,bluegrass
First Up,146455,False,3,Matt Large,Stances,0.689,0.579,1,-7.835,,0.243,0.0337,0.635,0.519,0.721,178.134,146455,4.0,430.0,107.0,,2.36741214057508,study
Al Otro Lado Del Río (342 Amazônia ao Vivo no Circo Voador),189386,False,20,Jorge Drexler,Al Otro Lado Del Río (342 Amazônia ao Vivo no Circo Voador),0.705,0.435,7,-12.185,,0.0927,0.597,0.00149,0.933,0.535,124.705,189387,4.0,391.0,98.0,0.098,4.067085953878407,afrobeat
Creer en Mí,218000,False,29,Green Valley,La Llave Maestra,0.639,0.696,10,-5.47,,0.131,0.289,0.0,0.096,0.728,177.972,218000,4.0,641.0,159.0,,0.7573891625615764,spanish
Spit It Out - Mixed,140893,False,18,The Breakfastaz,FABRICLIVE 19: The Freestylers (DJ Mix),0.563,0.929,2,-8.69,1.0,0.0448,3.62e-05,0.427,0.167,0.136,137.987,140893,4.0,324.0,81.0,,3.7004830917874396,breakbeat
Aloha,187392,False,51,Carlos Sadness;Bomba Estéreo,Aloha,0.801,0.901,0,-5.544,,0.102,0.102,0.000212,0.107,0.597,131.998,187392,4.0,408.0,103.0,0.922,3.349056603773585,spanish
All Dat,169730,True,19,Intence,Public Enemy No. 1 Mixtape,0.554,0.793,6,-4.276,1.0,0.232,0.459,0.0,0.25,0.387,116.725,169731,5.0,330.0,83.0,,1.1709531013615733,j-dance
Unfettered,138148,False,22,Jobii,Unfettered,0.681,0.521,11,-8.444,0.0,0.0469,0.372,0.865,0.112,0.239,81.94,138149,4.0,186.0,46.0,,0.7481162540365985,study
Diciembre,225413,False,23,La Oreja de Van Gogh,Diciembre,0.597,0.832,7,-4.762,,0.0296,0.127,1.11e-06,0.199,0.501,144.926,225413,4.0,518.0,128.0,,4.067085953878407,spanish
It's Real,278506,False,23,Olivia Ong,Just for You,0.572,0.601,10,-7.411,,0.0321,0.219,0.0,0.119,0.346,139.986,278507,4.0,640.0,159.0,,0.7573891625615764,mandopop
Si te cuentan que caí,312000,False,32,Miguel Bosé,Directo 90,0.542,0.604,11,-13.076,1.0,0.0502,0.0981,3.66e-06,0.968,0.223,94.001,312000,,485.0,122.0,,0.7481162540365985,spanish
Driving,287640,False,24,The Wailin' Jennys,Live at the Mauch Chunk Opera House,0.395,0.403,9,-12.939,1.0,0.042,0.823,5.18e-06,0.704,0.394,129.432,287640,4.0,615.0,152.0,,1.343558282208589,bluegrass
Baby U Decide,141921,False,39,高爾宣 OSN,Baby U Decide,0.75,0.781,2,-5.095,0.0,0.12,0.207,0.0,0.0962,0.56,139.959,141921,4.0,320.0,80.0,,3.7004830917874396,mandopop
Furor Diabolicus,283419,False,18,Watain,TRIDENT WOLF ECLIPSE,0.149,0.972,4,-10.998,,0.102,4.66e-06,0.972,0.376,0.0988,157.146,283419,4.0,691.0,174.0,,0.916010498687664,black-metal
Short Stories I,125879,False,0,Alireza Mashayekhi;Farimah Ghavamsadri,"Left Above the Clouds - Piano Classical Themes for Inflight Relaxation, Peace and Calm Music for Antistress Journey",0.352,0.04,2,-23.984,,0.0515,0.992,0.915,0.11,0.123,64.985,125880,3.0,127.0,41.0,,3.7004830917874396,iranian
No Devotion,412687,False,21,Revolting Cocks,Big Sexy Land,0.667,0.681,7,-12.684,1.0,0.0629,0.0944,0.0783,0.444,0.395,127.218,412688,4.0,873.0,218.0,0.245,4.067085953878407,industrial
Hard Luck Joe,183880,False,13,Blue Moon Rising,Strange New World,0.641,0.699,0,-8.488,1.0,0.0292,0.568,0.000371,0.0944,0.934,101.062,183880,4.0,293.0,73.0,,3.349056603773585,bluegrass
Stonecutter,161853,False,31,Smartface,Dissolve,0.728,0.577,5,-7.552,0.0,0.0503,0.386,0.902,0.146,0.709,89.979,161854,4.0,242.0,59.0,0.785,1.2793053545586106,study
Beber para Creer,273380,False,25,Lepoka,El Baile de los Caídos,0.352,0.979,7,-3.598,,0.156,1.94e-05,3.32e-06,0.304,0.44,170.057,273380,4.0,758.0,189.0,,4.067085953878407,spanish
Birds of a Feather,193386,False,2,Watchhouse,Haste Make / Hard Hearted Stranger,0.438,0.255,4,-12.576,1.0,0.028,0.893,0.00973,0.102,0.257,156.156,193387,4.0,476.0,119.0,,0.916010498687664,bluegrass
Sleep Aid: Sleep Ocean - Loopable,96595,False,40,Ocean Waves Sleep Aid,Relaxing Ocean Waves for Deep Sleep (Sleep Aid),0.176,0.432,0,-22.108,0.0,0.0796,0.692,0.909,0.145,0.0101,70.6,96595,3.0,112.0,37.0,,3.349056603773585,sleep
Sou Eu (Versão Grave),149304,False,23,Os Barões Da Pisadinha,Paredão Explode,0.766,0.816,2,-8.017,,0.0445,0.0519,1.12e-05,0.0676,0.587,172.022,149304,4.0,420.0,104.0,,3.7004830917874396,forro
332 23t422,213813,False,0,Bogdan Raczynski,Rave 'Till You Cry,0.453,0.973,1,-4.242,,0.148,0.00234,0.729,0.391,0.408,93.131,213813,4.0,348.0,88.0,,2.36741214057508,idm
Protect My Life,179960,True,5,Jafrass,Life Changes,0.676,0.49,5,-6.796,0.0,0.198,0.767,6.64e-05,0.254,0.334,92.401,179960,4.0,274.0,66.0,,1.2793053545586106,j-dance
Deep Lat'n Soul,486850,False,5,Mike Dunn,Return Of Tha Lost Soul EP,0.798,0.844,1,-8.22,1.0,0.0465,2.76e-05,0.753,0.0569,0.456,125.009,486850,4.0,1011.0,253.0,0.68,2.36741214057508,chicago-house
"Wenn Ein Stern In Finst'rer Nacht - aus ""Pinocchio""/Deutscher Film-Soundtrack",194893,False,23,Chorus of Pinocchio,Pinocchio (Deutscher Original Film-Soundtrack),0.159,0.256,2,-13.429,,0.0344,0.975,0.0159,0.324,0.0519,82.397,194893,3.0,266.0,88.0,,3.7004830917874396,disney
Como Quererte,176000,False,33,Cyclo,Confinad@s,0.777,0.463,6,-9.345,0.0,0.224,0.596,0.0,0.126,0.17,90.038,176000,4.0,260.0,64.0,,1.1709531013615733,spanish
Fa-La-Nana,66973,False,37,Play School,It's Play School,0.762,0.0443,5,-21.792,1.0,0.0679,0.625,1.53e-05,0.0804,0.6,90.835,66973,3.0,95.0,30.0,,1.2793053545586106,disney
Solar,253793,False,19,Metrik,Metrik EP,0.396,0.991,0,-2.846,1.0,0.0866,0.000131,0.5,0.502,0.0625,173.982,253793,4.0,735.0,184.0,,3.349056603773585,industrial
It's Delicious,399840,False,29,3 Steps Ahead,Most Wanted and Mad,0.503,0.902,5,-6.962,1.0,0.0435,0.00262,0.0983,0.363,0.07,97.55,399840,4.0,641.0,160.0,,1.2793053545586106,happy
Nothing Stops Detroit,393438,False,34,Robert Hood,Mirror Man,0.702,0.867,10,-8.143,0.0,0.0568,4.7e-05,0.925,0.179,0.262,129.94,393439,4.0,842.0,212.0,,0.7573891625615764,chicago-house
Scratching the Surface,283026,False,0,Siavash Amini;Hessam Ohadi;Nima Pourkarimi,Spotty Surfaces,0.318,0.792,11,-11.312,0.0,0.231,0.0154,0.951,0.102,0.151,119.723,283026,4.0,542.0,136.0,,0.7481162540365985,iranian
Honour 2003,487693,False,17,VNV Nation,Honour 2003,0.555,0.95,1,-8.297,0.0,0.032,0.00611,0.454,0.218,0.698,131.996,487693,4.0,1057.0,265.0,,2.36741214057508,industrial
Self-Reflection,170871,False,57,Apech,Self-Reflection,0.145,0.0114,8,-37.291,1.0,0.0382,0.962,0.901,0.114,0.0362,71.013,170871,,201.0,49.0,,2.7259036144578315,sleep
Old Father William,123913,False,0,Cameron's Bedtime Classics,Alice in Wonderland,0.27,0.308,0,-14.577,,0.0365,0.928,0.899,0.135,0.171,137.634,123913,4.0,275.0,67.0,,3.349056603773585,disney
Fires Roar in the Palace of the Moon,689693,False,20,Wolves In The Throne Room,Thrice Woven,0.112,0.944,7,-5.628,1.0,0.153,0.000139,0.817,0.0935,0.0342,151.694,689693,4.0,1735.0,436.0,,4.067085953878407,black-metal
